false_positive_cost,false_negative_cost,selected_threshold,expected_cost_per_applicant,recall,specificity,approval_rate,default_rate_within_approved
1.0,2.5,0.6274,0.1870152675479245,0.17663645518630414,0.9773249849658636,0.9648960213322927,0.06888649231598813
1.0,5.0,0.549,0.3215940685820204,0.46042296072507555,0.8870847925289186,0.8590312667674748,0.050706944523309296
1.0,7.5,0.5196,0.41892265417947094,0.5661631419939577,0.8300258233400545,0.798042371916817,0.0438857422272931
1.0,10.0,0.4804,0.48924442710111704,0.6976837865055387,0.733276734231844,0.6984862527031201,0.03494029190623618
1.0,15.0,0.451,0.5963774124839438,0.7734138972809668,0.6497223106583183,0.6155634684486936,0.029715523389418633
