iteration,train_auc,validation_auc
1.0,0.7316511142299582,0.7112383682487591
2.0,0.7364879761355624,0.7162000856610017
3.0,0.7446423183604195,0.7250358135018282
4.0,0.751211077856568,0.7309913282040041
5.0,0.7535081519720351,0.7336764208563556
6.0,0.7546862492210121,0.7345307990415914
7.0,0.7549339389852916,0.735178103172738
8.0,0.7555884642447741,0.7355159344033229
9.0,0.7565264359789524,0.7359868811062987
10.0,0.7567787925449013,0.7358211680710818
11.0,0.7569759425949345,0.7356865492741169
12.0,0.757405621047533,0.7362477649179404
13.0,0.7577370807306171,0.7362589116065457
14.0,0.7579625101970103,0.7362443681881273
15.0,0.7597499851000135,0.7379366378616141
16.0,0.7597104717116783,0.7376965245095163
17.0,0.7610605964543098,0.7389691564464642
18.0,0.7619259832383508,0.7397561842658417
19.0,0.7621959245758918,0.7397927699136447
20.0,0.7623534972570098,0.7397998608320431
21.0,0.7641586390884864,0.7414702592704095
22.0,0.7646275369095729,0.7415723713452514
23.0,0.764648943066716,0.7413083864813788
24.0,0.7650306843605701,0.7416973075919993
25.0,0.7650921692617191,0.7416316742935453
26.0,0.7652609151332612,0.7415367404154242
27.0,0.7655235562866243,0.7416054337987334
28.0,0.7659052087347185,0.7418240179042395
29.0,0.7661348715343517,0.7420186129394138
30.0,0.7663409718858853,0.7420206630893954
31.0,0.7670236423479203,0.7423956446050936
32.0,0.7673402013901536,0.7426696326334289
33.0,0.7676744868337175,0.7428928727702571
34.0,0.7678779485679678,0.7428654246284535
35.0,0.7681798227583974,0.7429066342461541
36.0,0.7688388916569328,0.743356338474169
37.0,0.7695995907985902,0.7439883920543667
38.0,0.7706380648273473,0.7448754657678923
39.0,0.7711806582432756,0.7452384865910394
40.0,0.7717312079351479,0.7457936657810945
41.0,0.7720332618528432,0.7459249822513297
42.0,0.7723453310578748,0.7460514663524077
43.0,0.772564330039747,0.746257690778746
44.0,0.7728568915659366,0.7465830786142211
45.0,0.7735775112365363,0.7471197815177786
46.0,0.7738706147073207,0.7472655452221584
47.0,0.7743837197647478,0.7476706733828938
48.0,0.7746773014903677,0.7478525827810842
49.0,0.7749889450791321,0.7480492154979084
50.0,0.775272960690169,0.7482017459440605
51.0,0.775840897686298,0.7486409340248199
52.0,0.7761732552786582,0.7487967632353212
53.0,0.7768065862439636,0.7492367118843187
54.0,0.7773399840510316,0.7496468861570418
55.0,0.7780805173863354,0.7502444558939354
56.0,0.7784354649219791,0.7505425879561544
57.0,0.7788849218076014,0.7508819527915472
58.0,0.7792304329347471,0.7511349583986986
59.0,0.7795032014868721,0.7512880374514488
60.0,0.7798683342946207,0.7514681763465273
61.0,0.7803022175800188,0.751829084678034
62.0,0.7806804041710124,0.7521749312647588
63.0,0.7810756546735127,0.7524732877569497
64.0,0.78145127273504,0.7527343817490412
65.0,0.7818804213121077,0.7529451784907597
66.0,0.7821783862890992,0.7531649488689744
67.0,0.7825536389342684,0.7534511469564963
68.0,0.7828853075721104,0.753650483520125
69.0,0.783397412205923,0.7539720417965555
70.0,0.7836528290793416,0.7540750872150902
71.0,0.7841419819887728,0.7544469498666547
72.0,0.784498506791124,0.7546879306584059
73.0,0.7848594011762684,0.7549232971384787
74.0,0.7852366318392325,0.7552393729113095
75.0,0.7855688053420148,0.7554376692598304
76.0,0.7859513367960319,0.7557251711786175
77.0,0.7863034313794494,0.7559283052398663
78.0,0.786617540837931,0.7561014796810543
79.0,0.7869341245999338,0.7562742230742011
80.0,0.7872513946990676,0.7564323678320317
81.0,0.7876334977740195,0.7566035117163311
82.0,0.7879554858592867,0.7567828918243616
83.0,0.7883221882269908,0.7570106668715748
84.0,0.7886671046255634,0.757236600168066
85.0,0.7891074838301669,0.7575220287813983
86.0,0.7894362585100472,0.757722708362478
87.0,0.7897448967564764,0.7579215996285434
88.0,0.7901342121877193,0.7581601686886916
